Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Coolant (Plasma) Gas Flow Rate,Advanced,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Coolant Plasma Gas Flow Rate'].schema:value,inferred,shared,dual-home counterpart (tier matrix)
Auxiliary Gas Flow Rate,Advanced,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Auxiliary Gas Flow Rate'].schema:defaultValue,authored,shared,
Auxiliary Gas Flow Rate,Advanced,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Auxiliary Gas Flow Rate'].schema:value,inferred,shared,dual-home counterpart (tier matrix)
Plasma Thermal Mode,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Plasma Thermal Mode'].schema:value,authored,shared,"read-only: fixed protocol value, not a default"
Masses Measured,Basic,Editable,Text (free),$MethodDefinition.ada:massesMeasuredDefault,authored,,dual-home decision: protocol default
Masses Measured,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.ada:massesMeasured,authored,,dual-home decision: analysis-tier value
Reported Variables and Units,Basic,Read-Only,Text (free),$MethodDefinition.ada:reportedPropertyTemplate.ada:defaultReportedProperties[],authored,,Keyed By: reported property (pilot)
Integration Time per Peak/Dwell Times; Quadrupole Settling Time Between Mass Jumps,Basic,Editable,Text (free),$MethodDefinition.ada:dwellTimesDefault,authored,,dual-home decision: protocol default
Integration Time per Peak/Dwell Times; Quadrupole Settling Time Between Mass Jumps,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.ada:dwellTimes,authored,,dual-home decision: analysis-tier value
Total Integration Time per Output Data Point (s),Basic,Editable,Numeric (s),$MethodDefinition.ada:totalIntegrationTimePerOutputDataPointDefault,authored,,dual-home decision: protocol default
