Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Isobaric Interference Corrections Applied,Basic,Read-Only,Controlled list,$.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,Analyte-specific field
Interfering Species,Basic,Read-Only,Text (free),$.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,Analyte-specific field
Interference Correction Method,Basic,Read-Only,Text (free),$.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,Analyte-specific field
Isotope Dilution Data Reduction Method,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Isotope Dilution Data Reduction Method'].schema:value,authored,shared,divergence decision applied
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:defaultValue,authored,shared,
Sample Uptake Rate,Basic,Editable,Numeric (µL/min or mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Sample Uptake Rate'].schema:defaultValue,authored,shared,dual-home decision: protocol default
Sample Uptake Rate,Basic,Editable,Numeric (µL/min or mL/min),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Sample Uptake Rate'].schema:value,authored,shared,dual-home decision: analysis-tier value
Secondary Reference Materials,Basic,Editable,Text (free),$MethodDefinition.ada:secondaryReferenceMaterialDefault[],authored,divergent,dual-home decision: protocol default
Secondary Reference Materials,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[ada:reagentRole='secondaryReferenceMaterial'].schema:name,authored,divergent,dual-home decision: analysis-tier value
Spike / Outlier Filtering Approach,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Spike / Outlier Filtering Approach'].schema:value,authored,shared,
Spike / Outlier Filtering Approach,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Spike / Outlier Filtering Approach'].schema:defaultValue,inferred,shared,
Torch Depth,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Torch'].schema:additionalProperty[schema:name='Torch Depth'].schema:defaultValue,authored,shared,dual-home decision: protocol default
Torch Depth,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Torch'].schema:additionalProperty[schema:name='Torch Depth'].schema:value,authored,shared,dual-home decision: analysis-tier value
Uncertainty Propagation Method,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Uncertainty Propagation Method'].schema:value,authored,shared,
Calibration Standard Measurement Frequency,Basic,Read-Only,Text (free),$MethodDefinition.ada:calibrationMeasurementFrequency,inferred,shared,
Uncertainty Propagation Method,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Uncertainty Propagation Method'].schema:defaultValue,inferred,shared,
Detection Limit,Advanced,Basic,Numeric + unit / Text,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,
Detection Limit Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,
Limit of Quantification (LOQ) Method,Advanced,Basic,Controlled list,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,
Within-Session Analytical Precision and Assessment Method,Basic,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,
Between-Session (Long-Term) Analytical Precision and Assessment Method,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,
Analytical Accuracy and Assessment Method,Basic,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,authored,shared,dual-home decision: protocol default
Additional Notes,Advanced,Advanced,Text (free),$Dataset.prov:wasGeneratedBy.schema:description,authored,shared,dual-home decision: analysis-tier value
Detection Limit,Advanced,Basic,Numeric + unit / Text,$.ada:analyteTemplate.ada:analyteColumns[],,shared,Analyte-specific field
Sample Name,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:name,authored,,shared analysis-instance row
Sampling Unit,Basic,Basic,Controlled list / Text,,flagged,,new in this revision (needs mapping)
Analytical Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:analyticalMode[],authored,,shared procedure row
Reported Variables and Units,Basic,Read-Only,Text (free),$MethodDefinition.ada:reportedPropertyTemplate.ada:defaultReportedProperties[],authored,,follows the geochronTAPP reported-property pilot — revisit with that workstream
Uncertainty Level,Basic,Read-Only,Controlled list / Text,,flagged,,new in this revision (needs mapping)
Calibration Factor and Determination Method,Basic,Editable,Text (free),,flagged,,new in this revision (needs mapping)
Procedural Blank Level,N/A,Basic,Text (free),,flagged,,new in this revision (needs mapping)
Analysis Inclusion and Rejection Criteria,Basic,Basic,Text (free),,flagged,,new in this revision (needs mapping)
Constants and Reference Values Used,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:defaultValue,authored,,"data-reduction step parameter, following geochronTAPP"
Constants and Reference Values Used,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:value,authored,,"data-reduction step parameter, following geochronTAPP"
Goodness-of-Fit or Dispersion Statistic,N/A,Basic,Text (free),,flagged,,new in this revision (needs mapping)
